filename,artist,style,genre
57090.jpg,Edouard Vuillard,Japonism,genre painting
55036.jpg,Konstantin Vasilyev,Symbolism,portrait
15896.jpg,Konstantin Vasilyev,Symbolism,mythological painting
13595.jpg,Koloman Moser,Art Nouveau (Modern),self-portrait
820.jpg,Lorenzo Lotto,High Renaissance,portrait
43517.jpg,Nicolas Poussin,Classicism,mythological painting
19834.jpg,William-Adolphe Bouguereau,Realism,genre painting
27067.jpg,William-Adolphe Bouguereau,Neoclassicism,allegorical painting
92287.jpg,Judith Leyster,Baroque,flower painting
45276.jpg,Thomas Eakins,Realism,portrait
75895.jpg,Ferdinand Hodler,Romanticism,self-portrait
21113.jpg,Koloman Moser,Art Nouveau (Modern),illustration
88434.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
80938.jpg,Ferdinand Hodler,Realism,genre painting
65341.jpg,Ernst Ludwig Kirchner,Expressionism,poster
16042.jpg,Konstantin Vasilyev,Symbolism,mythological painting
75802.jpg,Ferdinand Georg Waldmüller,Neoclassicism,advertisement
216.jpg,Hiroshige,Ukiyo-e,bird-and-flower painting
51415.jpg,Koloman Moser,Art Nouveau (Modern),design
91879.jpg,Joshua Reynolds,Baroque,self-portrait
15569.jpg,Koloman Moser,Art Nouveau (Modern),illustration
3306.jpg,Tosa Mitsuoki,Yamato-e,mythological painting
38383.jpg,Theo van Rysselberghe,Impressionism,nude painting (nu)
93795.jpg,Konstantin Vasilyev,Symbolism,mythological painting
7020.jpg,Rudolf von Alt,Romanticism,cityscape
23209.jpg,Ferdinand Hodler,Realism,self-portrait
41539.jpg,Adriaen van de Velde,Baroque,portrait
29461.jpg,Victor Borisov-Musatov,Symbolism,genre painting
100478.jpg,Koloman Moser,Art Nouveau (Modern),design
100829.jpg,Ferdinand Hodler,Realism,portrait
70873.jpg,William Merritt Chase,Japonism,portrait
51728.jpg,Ernst Ludwig Kirchner,Expressionism,landscape
95360.jpg,Edgar Degas,Impressionism,interior
68866.jpg,Johannes Vermeer,Baroque,genre painting
16019.jpg,Ferdinand Hodler,Symbolism,landscape
83376.jpg,Konstantin Vasilyev,Contemporary Realism,portrait
26862.jpg,Kazimir Malevich,Suprematism,portrait
98066.jpg,Suzanne Valadon,Post-Impressionism,genre painting
48930.jpg,Ferdinand Hodler,Realism,landscape
11057.jpg,Koloman Moser,Art Nouveau (Modern),landscape
18627.jpg,Felicien Rops,Symbolism,genre painting
102176.jpg,Hiroshige,Ukiyo-e,bird-and-flower painting
1028.jpg,Konstantin Vasilyev,Symbolism,genre painting
89941.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
26741.jpg,Koloman Moser,Art Nouveau (Modern),design
82971.jpg,Ernst Ludwig Kirchner,Expressionism,animal painting
8820.jpg,Konstantin Vasilyev,Symbolism,mythological painting
96372.jpg,Ernst Ludwig Kirchner,Expressionism,genre painting
66723.jpg,Juan Gris,Cubism,still life
3732.jpg,Franz Richard Unterberger,Romanticism,genre painting
57436.jpg,Emil Schumacher,Tachisme,abstract
73312.jpg,Konstantin Vasilyev,Surrealism,symbolic painting
10805.jpg,Ferdinand Hodler,Symbolism,landscape
13495.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
98644.jpg,Ferdinand Hodler,Symbolism,landscape
62037.jpg,Barnett Newman,Color Field Painting,abstract
13674.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
80950.jpg,Koloman Moser,Art Nouveau (Modern),sketch and study
88764.jpg,Koloman Moser,Art Nouveau (Modern),design
48541.jpg,Koloman Moser,Art Nouveau (Modern),design
22404.jpg,Alfred Stevens,Romanticism,portrait
58579.jpg,Konstantin Vasilyev,Symbolism,genre painting
9549.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
88133.jpg,Konstantin Vasilyev,Symbolism,mythological painting
49873.jpg,Koloman Moser,Art Nouveau (Modern),mythological painting
72442.jpg,Ferdinand Hodler,Symbolism,landscape
41164.jpg,Karl Bodmer,Romanticism,portrait
101495.jpg,Ernst Ludwig Kirchner,Expressionism,genre painting
53039.jpg,August Macke,Orphism,landscape
74307.jpg,Shitao,Ink and wash painting,flower painting
11837.jpg,Paul Signac,Pointillism,landscape
80474.jpg,Frans Snyders,Baroque,still life
89307.jpg,Ferdinand Hodler,Symbolism,landscape
87495.jpg,Cornelis de Vos,Baroque,portrait
100182.jpg,Ferdinand Hodler,Symbolism,landscape
80673.jpg,Shitao,Ink and wash painting,landscape
88558.jpg,Ferdinand Hodler,Realism,genre painting
49757.jpg,Claude Monet,Impressionism,landscape
18100.jpg,Ferdinand Hodler,Symbolism,landscape
45523.jpg,Ferdinand Hodler,Romanticism,landscape
22515.jpg,Ferdinand Hodler,Art Nouveau (Modern),genre painting
17680.jpg,Thomas Eakins,Realism,portrait
45969.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
8180.jpg,Adriaen van de Velde,Baroque,animal painting
62013.jpg,Karl Bodmer,Romanticism,interior
34412.jpg,Konstantin Vasilyev,Symbolism,landscape
34679.jpg,Theodor Severin Kittelsen,Art Nouveau (Modern),illustration
95342.jpg,Karl Bodmer,Romanticism,genre painting
74191.jpg,Domenico Gnoli,Surrealism,figurative
53841.jpg,Paul Signac,Impressionism,cityscape
85979.jpg,Edouard Vuillard,Post-Impressionism,cityscape
271.jpg,Ferdinand Hodler,Art Nouveau (Modern),symbolic painting
99522.jpg,Koloman Moser,Art Nouveau (Modern),nude painting (nu)
28282.jpg,Shitao,Ink and wash painting,landscape
46001.jpg,Franz Stuck,Symbolism,genre painting
23476.jpg,Koloman Moser,Art Nouveau (Modern),design
83567.jpg,Koloman Moser,Art Nouveau (Modern),design
24036.jpg,Gian Lorenzo Bernini,Baroque,self-portrait
34382.jpg,Valentin Serov,Art Nouveau (Modern),portrait
20616.jpg,Ferdinand Hodler,Realism,landscape
12262.jpg,Ferdinand Hodler,Symbolism,landscape
61194.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
5303.jpg,Konstantin Somov,Realism,portrait
57202.jpg,Konstantin Vasilyev,Symbolism,mythological painting
6586.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
93018.jpg,Pierre-Paul Prud'hon,Neoclassicism,history painting
909.jpg,William-Adolphe Bouguereau,Neoclassicism,nude painting (nu)
36041.jpg,Koloman Moser,Art Nouveau (Modern),allegorical painting
45541.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
76278.jpg,Koloman Moser,Art Nouveau (Modern),symbolic painting
17903.jpg,William Blake,Symbolism,religious painting
39644.jpg,Rudolf von Alt,Romanticism,landscape
101078.jpg,Ferdinand Hodler,Romanticism,landscape
85018.jpg,Pierre-Auguste Renoir,Impressionism,sketch and study
97649.jpg,Koloman Moser,Realism,genre painting
41316.jpg,Gerrit Dou,Baroque,portrait
44926.jpg,Isaac van Ostade,Baroque,genre painting
65940.jpg,Ferdinand Hodler,Art Nouveau (Modern),sketch and study
91301.jpg,Ferdinand Hodler,Art Nouveau (Modern),genre painting
19019.jpg,Koloman Moser,Art Nouveau (Modern),nude painting (nu)
47592.jpg,Diego Velazquez,Baroque,portrait
51073.jpg,Koloman Moser,Art Nouveau (Modern),design
81912.jpg,Paul Signac,Impressionism,landscape
6977.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
35624.jpg,August Macke,Fauvism,genre painting
35843.jpg,Ferdinand Hodler,Art Nouveau (Modern),sketch and study
5145.jpg,Albrecht Durer,Northern Renaissance,religious painting
25137.jpg,Konstantin Vasilyev,Contemporary Realism,portrait
17146.jpg,Ferdinand Hodler,Impressionism,genre painting
46012.jpg,Ferdinand Hodler,Post-Impressionism,landscape
27781.jpg,Guido Reni,Baroque,religious painting
55851.jpg,Koloman Moser,Art Nouveau (Modern),sketch and study
97711.jpg,Konstantin Vasilyev,Contemporary Realism,cloudscape
58549.jpg,Konstantin Vasilyev,Symbolism,mythological painting
76134.jpg,Konstantin Vasilyev,Surrealism,symbolic painting
31655.jpg,Thomas Eakins,Realism,portrait
74857.jpg,Koloman Moser,Art Nouveau (Modern),nude painting (nu)
73147.jpg,Benjamin West,Rococo,portrait
7700.jpg,Martin Schongauer,Northern Renaissance,religious painting
30376.jpg,Martin Schongauer,Northern Renaissance,religious painting
1089.jpg,Martin Schongauer,Northern Renaissance,religious painting
49235.jpg,Rudolf von Alt,Romanticism,cityscape
93054.jpg,Frederic Edwin Church,Luminism,landscape
53600.jpg,Eugène Grasset,Art Nouveau (Modern),self-portrait
73923.jpg,Koloman Moser,Art Nouveau (Modern),design
68576.jpg,Rembrandt,Baroque,self-portrait
21508.jpg,Gerard David,Northern Renaissance,religious painting
82310.jpg,Francisco Goya,Romanticism,portrait
69300.jpg,Koloman Moser,Post-Impressionism,landscape
19436.jpg,Konstantin Vasilyev,Symbolism,self-portrait
46153.jpg,Pieter de Hooch,Baroque,cityscape
61125.jpg,Franz Xaver Winterhalter,Neo-Rococo,portrait
97348.jpg,Lucas Cranach the Elder,Northern Renaissance,religious painting
44328.jpg,El Greco,Mannerism (Late Renaissance),cityscape
39533.jpg,David Wilkie,Romanticism,genre painting
34850.jpg,Ferdinand Hodler,Symbolism,landscape
95359.jpg,Karl Bodmer,Romanticism,portrait
3965.jpg,Ferdinand Hodler,Realism,landscape
62271.jpg,Agnolo Bronzino,Mannerism (Late Renaissance),allegorical painting
2731.jpg,Konstantin Vasilyev,Symbolism,animal painting
59630.jpg,Guido Reni,Baroque,religious painting
89279.jpg,Karl Bodmer,Romanticism,portrait
76728.jpg,Guido Reni,Baroque,religious painting
55948.jpg,Pavel Fedotov,Realism,genre painting
87503.jpg,Filippo Lippi,Early Renaissance,religious painting
8362.jpg,Ivan Kramskoy,Realism,religious painting
12836.jpg,Ferdinand Hodler,Post-Impressionism,landscape
60761.jpg,Ferdinand Hodler,Symbolism,landscape
32721.jpg,Jean-Leon Gerome,Orientalism,genre painting
75013.jpg,Theophile Steinlen,Art Nouveau (Modern),illustration
25251.jpg,Thomas Cole,Romanticism,landscape
29391.jpg,Benjamin West,Rococo,genre painting
8943.jpg,Ferdinand Hodler,Impressionism,cityscape
19281.jpg,Leon Bonnat,Academicism,quadratura
63576.jpg,Agnolo Bronzino,Mannerism (Late Renaissance),portrait
9332.jpg,Ferdinand Hodler,Symbolism,landscape
79659.jpg,Konstantin Vasilyev,Symbolism,landscape
80633.jpg,Katsushika Hokusai,Ukiyo-e,animal painting
35557.jpg,Rudolf von Alt,Romanticism,cityscape
17862.jpg,Ferdinand Hodler,Realism,landscape
40855.jpg,Thomas Eakins,Realism,portrait
34102.jpg,Koloman Moser,Symbolism,religious painting
8959.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
71631.jpg,Koloman Moser,Art Nouveau (Modern),design
36785.jpg,Alphonse Mucha,Art Nouveau (Modern),poster
34202.jpg,Konstantin Vasilyev,Contemporary Realism,landscape
77236.jpg,Joan Miro,Surrealism,interior
19525.jpg,Dmitry Levitzky,Rococo,portrait
29159.jpg,Koloman Moser,Art Nouveau (Modern),design
59682.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
20408.jpg,Katsushika Hokusai,Ukiyo-e,landscape
88250.jpg,Katsushika Hokusai,Ukiyo-e,landscape
77110.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
18147.jpg,Henri Rousseau,Naïve Art (Primitivism),allegorical painting
3022.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
65771.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
98553.jpg,Katsushika Hokusai,Ukiyo-e,landscape
254.jpg,Anders Zorn,Realism,portrait
102442.jpg,Franz Stuck,Symbolism,portrait
8250.jpg,Paul Signac,Impressionism,cityscape
55861.jpg,Koloman Moser,Art Nouveau (Modern),sketch and study
47312.jpg,Rudolf von Alt,Romanticism,cityscape
87823.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
42726.jpg,Katsushika Hokusai,Ukiyo-e,landscape
67649.jpg,Katsushika Hokusai,Ukiyo-e,marina
100455.jpg,Katsushika Hokusai,Ukiyo-e,landscape
91753.jpg,Ferdinand Hodler,Symbolism,landscape
81776.jpg,Karl Bodmer,Romanticism,portrait
16347.jpg,Ferdinand Hodler,Post-Impressionism,landscape
25480.jpg,Rudolf von Alt,Romanticism,interior
56338.jpg,Rudolf von Alt,Romanticism,cityscape
99956.jpg,Ferdinand Hodler,Impressionism,portrait
8517.jpg,Katsushika Hokusai,Ukiyo-e,landscape
84066.jpg,Konstantin Vasilyev,Symbolism,landscape
32539.jpg,Katsushika Hokusai,Ukiyo-e,landscape
76100.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
62115.jpg,Katsushika Hokusai,Ukiyo-e,landscape
19944.jpg,Katsushika Hokusai,Ukiyo-e,landscape
87043.jpg,Ivan Bilibin,Art Nouveau (Modern),design
7060.jpg,Ferdinand Hodler,Art Nouveau (Modern),portrait
28530.jpg,Karl Bodmer,Romanticism,genre painting
97297.jpg,Ivan Bilibin,Art Nouveau (Modern),design
3974.jpg,Konstantin Vasilyev,Symbolism,mythological painting
34897.jpg,Katsushika Hokusai,Ukiyo-e,landscape
30405.jpg,Konstantin Vasilyev,Contemporary Realism,landscape
53095.jpg,Ferdinand Hodler,Symbolism,sketch and study
16339.jpg,Dante Gabriel Rossetti,Romanticism,literary painting
95210.jpg,Sandro Botticelli,Early Renaissance,religious painting
47838.jpg,Rudolf von Alt,Romanticism,cityscape
42265.jpg,Koloman Moser,Art Nouveau (Modern),design
76118.jpg,Francois Boucher,Rococo,portrait
23382.jpg,Leon Bonnat,Romanticism,portrait
92545.jpg,Mabuse,Northern Renaissance,religious painting
59679.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
67638.jpg,Rembrandt,Baroque,portrait
38172.jpg,Thomas Eakins,Realism,genre painting
40401.jpg,Theodore Gericault,Romanticism,animal painting
72662.jpg,Julian Alden Weir,Tonalism,landscape
91676.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
88229.jpg,Sir Lawrence Alma-Tadema,Romanticism,portrait
79242.jpg,Dmitry Levitzky,Rococo,portrait
20281.jpg,Konstantin Vasilyev,Symbolism,mythological painting
50103.jpg,Rudolf von Alt,Romanticism,cityscape
12158.jpg,Konstantin Vasilyev,Symbolism,history painting
64091.jpg,Konstantin Vasilyev,Symbolism,mythological painting
13612.jpg,Konstantin Vasilyev,Symbolism,mythological painting
7288.jpg,Katsushika Hokusai,Ukiyo-e,landscape
3503.jpg,Konstantin Vasilyev,Symbolism,portrait
91225.jpg,Konstantin Vasilyev,Symbolism,mythological painting
60044.jpg,Jan van Eyck,Northern Renaissance,portrait
2295.jpg,Konstantin Vasilyev,Symbolism,mythological painting
93353.jpg,Berthe Morisot,Impressionism,genre painting
15960.jpg,Katsushika Hokusai,Ukiyo-e,cityscape
92736.jpg,Katsushika Hokusai,Ukiyo-e,cityscape
26366.jpg,Fyodor Bronnikov,Realism,illustration
28188.jpg,Rudolf von Alt,Romanticism,cityscape
73066.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
66051.jpg,Caravaggio,Baroque,mythological painting
71381.jpg,Ferdinand Hodler,Symbolism,landscape
58664.jpg,Katsushika Hokusai,Ukiyo-e,landscape
79031.jpg,Katsushika Hokusai,Ukiyo-e,landscape
51997.jpg,Andre Bauchant,Naïve Art (Primitivism),history painting
64794.jpg,Albrecht Durer,Northern Renaissance,religious painting
68329.jpg,Katsushika Hokusai,Ukiyo-e,landscape
55985.jpg,Konstantin Vasilyev,Surrealism,religious painting
90339.jpg,Koloman Moser,Art Nouveau (Modern),flower painting
52038.jpg,Edouard Vuillard,Japonism,cityscape
4771.jpg,Orest Kiprensky,Romanticism,portrait
95477.jpg,Paul Signac,Impressionism,landscape
14640.jpg,Konstantin Vasilyev,Symbolism,mythological painting
97187.jpg,Rudolf von Alt,Romanticism,cityscape
62497.jpg,Antonello da Messina,Early Renaissance,portrait
11908.jpg,Ivan Bilibin,Art Nouveau (Modern),design
31199.jpg,Rudolf von Alt,Romanticism,genre painting
55370.jpg,Karl Bodmer,Romanticism,genre painting
13211.jpg,Katsushika Hokusai,Ukiyo-e,landscape
38493.jpg,Koloman Moser,Art Nouveau (Modern),design
54079.jpg,Vladimir Borovikovsky,Rococo,portrait
50355.jpg,Rudolf von Alt,Romanticism,panorama
51875.jpg,Ferdinand Hodler,Symbolism,landscape
71149.jpg,Thomas Eakins,Impressionism,genre painting
54323.jpg,Katsushika Hokusai,Ukiyo-e,landscape
73658.jpg,Rudolf von Alt,Romanticism,landscape
4735.jpg,Katsushika Hokusai,Ukiyo-e,landscape
95186.jpg,Ivan Bilibin,Art Nouveau (Modern),design
27639.jpg,Vasily Tropinin,Romanticism,portrait
70892.jpg,Thomas Eakins,Realism,portrait
5217.jpg,William-Adolphe Bouguereau,Realism,portrait
45108.jpg,Koloman Moser,Art Nouveau (Modern),design
58764.jpg,Katsushika Hokusai,Ukiyo-e,marina
17940.jpg,Rudolf von Alt,Romanticism,landscape
72945.jpg,Ferdinand Hodler,Symbolism,sketch and study
62838.jpg,Dmitry Levitzky,Rococo,portrait
98698.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
49766.jpg,John Glover,Romanticism,genre painting
27414.jpg,Titian,High Renaissance,allegorical painting
68311.jpg,Ferdinand Hodler,Symbolism,sketch and study
83017.jpg,Koloman Moser,Symbolism,landscape
27245.jpg,Konstantin Vasilyev,Symbolism,history painting
38985.jpg,Paolo Veronese,Mannerism (Late Renaissance),mythological painting
5694.jpg,Edouard Vuillard,Post-Impressionism,portrait
96668.jpg,Franz Stuck,Symbolism,religious painting
73615.jpg,Rudolf von Alt,Romanticism,landscape
35157.jpg,El Lissitzky,Constructivism,design
20768.jpg,Theophile Steinlen,Art Nouveau (Modern),illustration
102960.jpg,Felicien Rops,Symbolism,caricature
72083.jpg,Ferdinand Hodler,Realism,portrait
70088.jpg,Theophile Steinlen,Realism,illustration
70020.jpg,Koloman Moser,Art Nouveau (Modern),self-portrait
96219.jpg,Ferdinand Hodler,Symbolism,landscape
4364.jpg,Katsushika Hokusai,Ukiyo-e,marina
78091.jpg,Louise Elisabeth Vigee Le Brun,Rococo,portrait
82053.jpg,Kitagawa Utamaro,Ukiyo-e,portrait
74123.jpg,Hans Baldung,Northern Renaissance,religious painting
101278.jpg,Katsushika Hokusai,Ukiyo-e,landscape
35919.jpg,Claude Monet,Impressionism,landscape
79413.jpg,Kurt Schwitters,Dada,figurative
37075.jpg,Ferdinand Hodler,Post-Impressionism,landscape
96147.jpg,Giovanni Battista Piranesi,Neoclassicism,capriccio
20445.jpg,Charles Rennie Mackintosh,Art Nouveau (Modern),landscape
71859.jpg,Mstislav Dobuzhinsky,Symbolism,cityscape
67954.jpg,Honore Daumier,Realism,genre painting
37664.jpg,Ferdinand Hodler,Impressionism,genre painting
99369.jpg,Konstantin Vasilyev,Symbolism,mythological painting
84515.jpg,Rudolf von Alt,Romanticism,landscape
49444.jpg,Carl Larsson,Art Nouveau (Modern),portrait
27205.jpg,Rudolf von Alt,Romanticism,landscape
60161.jpg,Camille Corot,Realism,cityscape
29007.jpg,Benjamin West,Rococo,portrait
83517.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
44296.jpg,Childe Hassam,Impressionism,landscape
7224.jpg,Alexander Ivanov,Romanticism,landscape
41682.jpg,Claude Monet,Impressionism,landscape
37256.jpg,Claude Monet,Impressionism,landscape
54668.jpg,Giuseppe de Nittis,Impressionism,portrait
46490.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
78687.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
1123.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
73187.jpg,Konstantin Vasilyev,Symbolism,mythological painting
71698.jpg,Louise Elisabeth Vigee Le Brun,Rococo,portrait
94592.jpg,Thomas Eakins,Realism,sketch and study
71855.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
30595.jpg,Eustache Le Sueur,Baroque,religious painting
72234.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
64210.jpg,Henri de Toulouse-Lautrec,Post-Impressionism,portrait
94943.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
75073.jpg,Ford Madox Brown,Romanticism,genre painting
102940.jpg,Nikolai Ge,Realism,religious painting
74639.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
99285.jpg,Rudolf von Alt,Romanticism,landscape
64419.jpg,Karl Bodmer,Romanticism,genre painting
36713.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
26882.jpg,Koloman Moser,Art Nouveau (Modern),illustration
9158.jpg,Karl Bodmer,Romanticism,portrait
23452.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
22266.jpg,Ferdinand Hodler,Realism,landscape
72942.jpg,Esaias van de Velde,Baroque,cityscape
63564.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
12155.jpg,Katsushika Hokusai,Ukiyo-e,genre painting
42432.jpg,Giovanni Battista Piranesi,Neoclassicism,veduta
88767.jpg,Church of the Covenant (Boston) ,Art Nouveau (Modern),design
8096.jpg,Ferdinand Hodler,Symbolism,sketch and study
82140.jpg,Ivan Aivazovsky,Romanticism,marina
50272.jpg,Rudolf von Alt,Romanticism,genre painting
55979.jpg,Dmitry Levitzky,Rococo,portrait
19571.jpg,Giovanni Battista Piranesi,Neoclassicism,interior
58564.jpg,Valentin Serov,Art Nouveau (Modern),mythological painting
28179.jpg,Theophile Steinlen,Realism,illustration
48736.jpg,Joshua Reynolds,Rococo,mythological painting
76577.jpg,Giovanni Battista Piranesi,Neoclassicism,interior
2918.jpg,Karl Bodmer,Romanticism,genre painting
57901.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
44603.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
44287.jpg,Rudolf von Alt,Romanticism,cityscape
42415.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
28187.jpg,Karl Bodmer,Romanticism,genre painting
97939.jpg,Giovanni Battista Piranesi,Neoclassicism,veduta
59006.jpg,Konstantin Vasilyev,Symbolism,battle painting
47417.jpg,Utagawa Kuniyoshi,Ukiyo-e,allegorical painting
74498.jpg,Giovanni Battista Piranesi,Neoclassicism,interior
84023.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
41368.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
72038.jpg,Konstantin Vasilyev,Symbolism,mythological painting
71143.jpg,Francisco Goya,Romanticism,portrait
93955.jpg,Konstantin Vasilyev,Symbolism,portrait
14108.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
30945.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
37308.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
29842.jpg,Giovanni Battista Piranesi,Neoclassicism,design
55911.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
2039.jpg,Koloman Moser,Art Nouveau (Modern),landscape
100830.jpg,Ferdinand Hodler,Art Nouveau (Modern),sketch and study
68070.jpg,Koloman Moser,Art Nouveau (Modern),sketch and study
62964.jpg,Francois Boucher,Rococo,landscape
25140.jpg,Giovanni Battista Piranesi,Neoclassicism,interior
19464.jpg,Paul Signac,Impressionism,still life
8328.jpg,Giovanni Battista Piranesi,Neoclassicism,capriccio
36834.jpg,Lajos Kassak,Constructivism,poster
78766.jpg,Odilon Redon,Realism,flower painting
62636.jpg,Ferdinand Hodler,Symbolism,landscape
86166.jpg,Lyonel Feininger,Cubism,cityscape
33696.jpg,Giovanni Battista Piranesi,Neoclassicism,veduta
37447.jpg,Rembrandt,Baroque,sketch and study
32071.jpg,Leonardo da Vinci,High Renaissance,religious painting
12977.jpg,Fyodor Alekseyev,Neoclassicism,veduta
72281.jpg,Giovanni Battista Piranesi,Neoclassicism,interior
51496.jpg,Carl Larsson,Art Nouveau (Modern),interior
42728.jpg,Giovanni Battista Piranesi,Neoclassicism,veduta
27129.jpg,Koloman Moser,Art Nouveau (Modern),design
78480.jpg,Theo van Doesburg,Neoplasticism,abstract
